PLANE_ID,SATELLITES,RAAN,INCLINATION,ARG_OF_PERIGEE,PERIOD,APOGEE,PERIGEE,ARC_BEGIN,ARC_END,SUB_CONSTELLATION,RAAN
98,1,2.1,53,0,5486,345,345,0,360,VLEO,2.1
99,1,2.2,53,0,5486,345,345,0,360,VLEO,2.2
100,1,2.3,53,0,5486,345,345,0,360,VLEO,2.3
101,1,2.5,53,0,5486,345,345,0,360,VLEO,2.5
102,1,2.6,53,0,5486,345,345,0,360,VLEO,2.6
103,1,2.8,53,0,5486,345,345,0,360,VLEO,2.8
104,1,2.9,53,0,5486,345,345,0,360,VLEO,2.9
105,1,3,53,0,5486,345,345,0,360,VLEO,3
106,1,3.3,53,0,5486,345,345,0,360,VLEO,3.3
107,1,3.3,53,0,5486,345,345,0,360,VLEO,3.3
108,1,3.5,53,0,5486,345,345,0,360,VLEO,3.5
109,1,3.6,53,0,5486,345,345,0,360,VLEO,3.6
110,1,3.8,53,0,5486,345,345,0,360,VLEO,3.8
111,1,3.9,53,0,5486,345,345,0,360,VLEO,3.9
112,1,4,53,0,5486,345,345,0,360,VLEO,4
113,1,4.2,53,0,5486,345,345,0,360,VLEO,4.2
114,1,4.3,53,0,5486,345,345,0,360,VLEO,4.3
115,1,4.5,53,0,5486,345,345,0,360,VLEO,4.5
116,1,4.6,53,0,5486,345,345,0,360,VLEO,4.6
117,1,4.7,53,0,5486,345,345,0,360,VLEO,4.7
118,1,4.9,53,0,5486,345,345,0,360,VLEO,4.9
119,1,5,53,0,5486,345,345,0,360,VLEO,5
120,1,5.2,53,0,5486,345,345,0,360,VLEO,5.2
121,1,5.3,53,0,5486,345,345,0,360,VLEO,5.3
122,1,5.4,53,0,5486,345,345,0,360,VLEO,5.4
123,1,5.6,53,0,5486,345,345,0,360,VLEO,5.6
124,1,5.7,53,0,5486,345,345,0,360,VLEO,5.7
125,1,5.9,53,0,5486,345,345,0,360,VLEO,5.9
126,1,6,53,0,5486,345,345,0,360,VLEO,6
127,1,6.2,53,0,5486,345,345,0,360,VLEO,6.2
128,1,6.3,53,0,5486,345,345,0,360,VLEO,6.3
129,1,6.4,53,0,5486,345,345,0,360,VLEO,6.4
130,1,6.6,53,0,5486,345,345,0,360,VLEO,6.6
131,1,6.7,53,0,5486,345,345,0,360,VLEO,6.7
132,1,6.9,53,0,5486,345,345,0,360,VLEO,6.9
133,1,7,53,0,5486,345,345,0,360,VLEO,7
134,1,7.1,53,0,5486,345,345,0,360,VLEO,7.1
135,1,7.3,53,0,5486,345,345,0,360,VLEO,7.3
136,1,7.4,53,0,5486,345,345,0,360,VLEO,7.4
137,1,7.6,53,0,5486,345,345,0,360,VLEO,7.6
138,1,7.7,53,0,5486,345,345,0,360,VLEO,7.7
139,1,7.9,53,0,5486,345,345,0,360,VLEO,7.9
140,1,8,53,0,5486,345,345,0,360,VLEO,8
141,1,8.1,53,0,5486,345,345,0,360,VLEO,8.1
142,1,8.3,53,0,5486,345,345,0,360,VLEO,8.3
143,1,8.4,53,0,5486,345,345,0,360,VLEO,8.4
144,1,8.6,53,0,5486,345,345,0,360,VLEO,8.6
145,1,8.7,53,0,5486,345,345,0,360,VLEO,8.7
146,1,8.8,53,0,5486,345,345,0,360,VLEO,8.8
147,1,9,53,0,5486,345,345,0,360,VLEO,9
148,1,9.1,53,0,5486,345,345,0,360,VLEO,9.1
149,1,9.3,53,0,5486,345,345,0,360,VLEO,9.3
